queue_id,interval_start,calls_offered,aht_seconds,mean_patience_seconds,service_level_threshold,service_level_target_seconds,max_occupancy,shrinkage
sales,2026-03-08 08:00:00 AM,82,255,175,80,20,85,0.30
sales,2026-03-08 08:30:00 AM,88,250,175,80,20,85,0.30
sales,2026-03-08 09:00:00 AM,95,248,170,80,20,85,0.30
sales,2026-03-08 09:30:00 AM,108,245,170,80,20,85,0.30
sales,2026-03-08 10:00:00 AM,124,242,165,80,20,85,0.30
sales,2026-03-08 10:30:00 AM,137,240,165,80,20,85,0.30
sales,2026-03-08 11:00:00 AM,149,238,160,80,20,85,0.30
sales,2026-03-08 11:30:00 AM,158,236,160,80,20,85,0.30
sales,2026-03-08 12:00:00 PM,166,235,160,80,20,85,0.30
sales,2026-03-08 12:30:00 PM,172,234,158,80,20,85,0.30
sales,2026-03-08 01:00:00 PM,176,233,158,80,20,85,0.30
sales,2026-03-08 01:30:00 PM,171,234,158,80,20,85,0.30
sales,2026-03-08 02:00:00 PM,165,236,160,80,20,85,0.30
sales,2026-03-08 02:30:00 PM,154,239,160,80,20,85,0.30
sales,2026-03-08 03:00:00 PM,147,242,165,80,20,85,0.30
sales,2026-03-08 03:30:00 PM,139,244,165,80,20,85,0.30
sales,2026-03-08 04:00:00 PM,128,247,170,80,20,85,0.30
sales,2026-03-08 04:30:00 PM,114,250,170,80,20,85,0.30
sales,2026-03-08 05:00:00 PM,101,252,175,80,20,85,0.30
sales,2026-03-08 05:30:00 PM,92,255,175,80,20,85,0.30
