queue_id,interval_start,calls_offered,aht_seconds,mean_patience_seconds,service_level_threshold,service_level_target_seconds,max_occupancy,shrinkage
sales,2026-03-08 09:00:00 AM,110,250,180,80,20,85,0.30
sales,2026-03-08 09:30:00 AM,118,248,180,80,20,85,0.30
sales,2026-03-09 09:00:00 AM,124,246,180,80,20,85,0.30
sales,2026-03-09 09:30:00 AM,132,244,180,80,20,85,0.30
sales,2026-03-10 09:00:00 AM,120,246,175,80,20,85,0.30
sales,2026-03-10 09:30:00 AM,126,244,175,80,20,85,0.30
sales,2026-03-11 09:00:00 AM,116,248,175,80,20,85,0.30
sales,2026-03-11 09:30:00 AM,122,246,175,80,20,85,0.30
sales,2026-03-12 09:00:00 AM,134,244,170,80,20,85,0.30
sales,2026-03-12 09:30:00 AM,142,242,170,80,20,85,0.30
sales,2026-03-13 09:00:00 AM,138,244,170,80,20,85,0.30
sales,2026-03-13 09:30:00 AM,146,242,170,80,20,85,0.30
sales,2026-03-14 09:00:00 AM,128,246,175,80,20,85,0.30
sales,2026-03-14 09:30:00 AM,136,244,175,80,20,85,0.30
