service_date,call_volume
2022-01-01,0
2022-01-02,639
2022-01-03,985
2022-01-04,1012
2022-01-05,1003
2022-01-06,994
2022-01-07,950
2022-01-08,701
2022-01-09,647
2022-01-10,993
2022-01-11,1019
2022-01-12,1009
2022-01-13,1000
2022-01-14,956
2022-01-15,707
2022-01-16,653
2022-01-17,999
2022-01-18,1024
2022-01-19,1015
2022-01-20,1006
2022-01-21,961
2022-01-22,712
2022-01-23,657
2022-01-24,1003
2022-01-25,1029
2022-01-26,1019
2022-01-27,1010
2022-01-28,965
2022-01-29,716
2022-01-30,661
2022-01-31,1006
2022-02-01,1037
2022-02-02,1027
2022-02-03,1017
2022-02-04,973
2022-02-05,723
2022-02-06,668
2022-02-07,1014
2022-02-08,1039
2022-02-09,1029
2022-02-10,1019
2022-02-11,974
2022-02-12,725
2022-02-13,670
2022-02-14,1015
2022-02-15,1040
2022-02-16,1030
2022-02-17,1020
2022-02-18,975
2022-02-19,725
2022-02-20,670
2022-02-21,1016
2022-02-22,1041
2022-02-23,1031
2022-02-24,1021
2022-02-25,976
2022-02-26,726
2022-02-27,671
2022-02-28,1016
2022-03-01,1061
2022-03-02,1051
2022-03-03,1041
2022-03-04,996
2022-03-05,746
2022-03-06,691
2022-03-07,1036
2022-03-08,1061
2022-03-09,1051
2022-03-10,1041
2022-03-11,996
2022-03-12,746
2022-03-13,691
2022-03-14,1036
2022-03-15,1060
2022-03-16,1050
2022-03-17,1040
2022-03-18,995
2022-03-19,746
2022-03-20,691
2022-03-21,1036
2022-03-22,1061
2022-03-23,1051
2022-03-24,1041
2022-03-25,996
2022-03-26,746
2022-03-27,691
2022-03-28,1036
2022-03-29,1061
2022-03-30,1051
2022-03-31,1041
2022-04-01,1006
2022-04-02,756
2022-04-03,701
2022-04-04,1046
2022-04-05,1072
2022-04-06,1062
2022-04-07,1052
2022-04-08,1007
2022-04-09,757
2022-04-10,702
2022-04-11,1047
2022-04-12,1072
2022-04-13,1063
2022-04-14,1053
2022-04-15,1008
2022-04-16,758
2022-04-17,703
2022-04-18,1048
2022-04-19,1074
2022-04-20,1064
2022-04-21,1054
2022-04-22,1009
2022-04-23,759
2022-04-24,705
2022-04-25,1050
2022-04-26,1075
2022-04-27,1065
2022-04-28,1055
2022-04-29,1011
2022-04-30,761
2022-05-01,721
2022-05-02,1066
2022-05-03,1091
2022-05-04,1082
2022-05-05,1072
2022-05-06,1027
2022-05-07,777
2022-05-08,722
2022-05-09,1067
2022-05-10,1093
2022-05-11,1083
2022-05-12,1073
2022-05-13,1028
2022-05-14,778
2022-05-15,723
2022-05-16,1068
2022-05-17,1093
2022-05-18,1083
2022-05-19,1073
2022-05-20,1028
2022-05-21,778
2022-05-22,723
2022-05-23,1068
2022-05-24,1093
2022-05-25,1083
2022-05-26,1073
2022-05-27,1028
2022-05-28,778
2022-05-29,723
2022-05-30,808
2022-05-31,1092
2022-06-01,1097
2022-06-02,1087
2022-06-03,1042
2022-06-04,791
2022-06-05,736
2022-06-06,1081
2022-06-07,1105
2022-06-08,1095
2022-06-09,1085
2022-06-10,1039
2022-06-11,789
2022-06-12,733
2022-06-13,1078
2022-06-14,1102
2022-06-15,1092
